,text,location,entities
34,Petite adaptation perso de l'affiche de Mélenchon pour les législatives vous en pensez quoi https://t.co/yQDusjr1KW,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1519010975399256064, 'id_str': '1519010975399256064', 'indices': [92, 115], 'media_url': 'http://pbs.twimg.com/media/FRScbx6XoAAw17V.jpg', 'media_url_https': 'https://pbs.twimg.com/media/FRScbx6XoAAw17V.jpg', 'url': 'https://t.co/yQDusjr1KW', 'display_url': 'pic.twitter.com/yQDusjr1KW', 'expanded_url': 'https://twitter.com/PLoubaut/status/1519010978524020738/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 502, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 502, 'h': 680, 'resize': 'fit'}, 'large': {'w': 502, 'h': 680, 'resize': 'fit'}}}]}"
35,"@Lexyglabre @Khayat_Fouad De 2008 a 2018 , c’est Macron le responsable bien sûr !",,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Lexyglabre', 'name': 'Lexyglabre', 'id': 1441438262569041920, 'id_str': '1441438262569041920', 'indices': [0, 11]}, {'screen_name': 'Khayat_Fouad', 'name': 'Fouad Khayat', 'id': 3065456787, 'id_str': '3065456787', 'indices': [12, 25]}], 'urls': []}"
36,Jadot il se voit déjà au ministère ce tarté,"Monterrey, Nuevo León","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}"
37,"@tcabarrus C'est quand même triste pour cette #hidalgo d'avoir un fils pareil, je lui collerais deux claques au cul… https://t.co/7xFnLmV95w",Beausoleil,"{'hashtags': [{'text': 'hidalgo', 'indices': [46, 54]}], 'symbols': [], 'user_mentions': [{'screen_name': 'tcabarrus', 'name': 'Thierry de Cabarrus', 'id': 338955445, 'id_str': '338955445', 'indices': [0, 10]}], 'urls': [{'url': 'https://t.co/7xFnLmV95w', 'expanded_url': 'https://twitter.com/i/web/status/1519010971863457797', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
38,"@MickNovitch Eh le sous-marin de macron ta mission est terminée,l'éborgneur est élu.Alors arrête de ramer tu attaques la falaise.",,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MickNovitch', 'name': 'Mick Novitch', 'id': 32831045, 'id_str': '32831045', 'indices': [0, 12]}], 'urls': []}"
39,"@lePacifique123 @JoMoukate @ChrissleMucho @tayate2 Mettre le RN et LR dans le même bord politique est effrayant, au… https://t.co/tjAOJyeGAg","Rouen, France","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lePacifique123', 'name': 'Wali.T🌕', 'id': 1513218704825372678, 'id_str': '1513218704825372678', 'indices': [0, 15]}, {'screen_name': 'JoMoukate', 'name': 'Jo Moukate', 'id': 1333668898496016384, 'id_str': '1333668898496016384', 'indices': [16, 26]}, {'screen_name': 'ChrissleMucho', 'name': 'El madrileno calorr', 'id': 1434933266994315267, 'id_str': '1434933266994315267', 'indices': [27, 41]}, {'screen_name': 'tayate2', 'name': 'Tayate', 'id': 478061574, 'id_str': '478061574', 'indices': [42, 50]}], 'urls': [{'url': 'https://t.co/tjAOJyeGAg', 'expanded_url': 'https://twitter.com/i/web/status/1519010965542645762', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
40,"@Erantzuna1 On ne va pas pousser la réflexion jusque là, pour ce genre de personne, Macron décide quand il pleut, ne jamais oublier ça",Partout nulle part,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Erantzuna1', 'name': 'Mitch', 'id': 1481958174819340293, 'id_str': '1481958174819340293', 'indices': [0, 11]}], 'urls': []}"
41,"@Rsalmon15 @le_Parisien @catherinegaste Hollande avec des attentas : +3,5%
Macron avec ses conneries racistes : +11… https://t.co/U7ziS2sjWM","Paris, France","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Rsalmon15', 'name': 'Gadget', 'id': 1450569929380573185, 'id_str': '1450569929380573185', 'indices': [0, 10]}, {'screen_name': 'le_Parisien', 'name': 'Le Parisien', 'id': 38142665, 'id_str': '38142665', 'indices': [11, 23]}, {'screen_name': 'catherinegaste', 'name': 'Catherine Gasté', 'id': 92945903, 'id_str': '92945903', 'indices': [24, 39]}], 'urls': [{'url': 'https://t.co/U7ziS2sjWM', 'expanded_url': 'https://twitter.com/i/web/status/1519010950783070208', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
42,"@JLMelenchon est une imposture, tout comme @Francois_Ruffin autre millionnaire né dans une grande famille bourgeois… https://t.co/FXAveV3OUM",,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JLMelenchon', 'name': 'Jean-Luc Mélenchon', 'id': 80820758, 'id_str': '80820758', 'indices': [0, 12]}, {'screen_name': 'Francois_Ruffin', 'name': 'François Ruffin', 'id': 801822323825410049, 'id_str': '801822323825410049', 'indices': [43, 59]}], 'urls': [{'url': 'https://t.co/FXAveV3OUM', 'expanded_url': 'https://twitter.com/i/web/status/1519010949855952896', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
43,@Mediavenir Biensur maintenant qu'il a dit de voter Macron il veux être 1er ministre,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Mediavenir', 'name': 'Mediavenir', 'id': 1214315619031478272, 'id_str': '1214315619031478272', 'indices': [0, 11]}], 'urls': []}"
44,@Damouretdepulco Mddrrrrr c'est parce que Macron aime bien les cordons bleus🤣🤣🤣y a aussi macaron ou team arrogante lol c'est notre délire,Paris🗼,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Damouretdepulco', 'name': '️️ ️️️️️️️ln(😅)=💧ln(😄)', 'id': 1338767861129617414, 'id_str': '1338767861129617414', 'indices': [0, 16]}], 'urls': []}"
45,Ah ils sont pas trouver des français qu’il soutient macron dc ils sont prit les eleve de brigitte https://t.co/otOSClnHiR,France Alsace,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/otOSClnHiR', 'expanded_url': 'https://twitter.com/klr0_8/status/1518313294456668160', 'display_url': 'twitter.com/klr0_8/status/…', 'indices': [98, 121]}]}"
46,Un Macron compatible. Ça brasse ça brasse 🤡 https://t.co/PtN1z6WvDS,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/PtN1z6WvDS', 'expanded_url': 'https://twitter.com/mistercool87/status/1518876974248304640', 'display_url': 'twitter.com/mistercool87/s…', 'indices': [44, 67]}]}"
